Counter	ID	Merger?	# Bulges	Sep	Flux Ratio	Gini	M20	C	A	S	Sersic n	A_s
0	587730773351923978	0.0	2	4.953277343462782	1.711433386829034	0.6449481730081323	-0.8171153179260985	1.6700537854927395	0.12639932892827907	0.17213255982371023	1.8251	0.36511627
1	587727177912680538	0.0	2	0.6454702583784088	1.8893829851665709	0.5076714165834648	-1.2369234221520744	2.4494696394534063	0.21199980666677026	0.01195497728980477	0.6923	0.4215531
2	587727223561257225	0.0	2	3.0986074796871756	1.2083701820269268	0.599706147476624	-0.7873698308330399	1.3774534852293203	0.31623909294513197	0.05368886443959251	0.8327	0.71389645
3	587731187277955213	0.0	2	1.3728351113934463	1.3085791612450992	0.5422057670478734	-1.0891042296473947	2.3016907146359564	0.1902460635157734	0.04252169483290443	1.4043	0.14137214
4	587730774962864138	0.0	2	5.884831205232369	0.7778932446100806	0.834970587096103	-1.6876904796917143	3.455188371572317	0.07875089979610936	0.007754613759391457	0.9863	0.1641791
5	587727178986750088	0.0	2	8.514626377827456	0.8732126126188344	0.6613920515456794	-1.964105838128674	1.8571377918005771	0.020172843210074055	0.07220976500707081	1.1407	0.10064935
6	588015510343712908	0.0	1	0	0	0.5681371034115084	-1.380051138864428	2.688920208697947	0.11437071116320544	0.0537774084396508	1.0606	0.3
7	587730775499997384	0.0	2	0.610926564700244	1.1753304829382487	0.5101435360288824	-1.1389223714912586	2.383962331485317	0.10758317006123189	0.06341903074583392	0.9785	0.19259259
8	587727180060688562	0.0	2	3.0983263792767644	1.797380393776317	0.5855231291387087	-0.9646702011059315	1.5920394540637661	0.2800384863437525	0.09396452046972853	1.4514	0.44538605
9	587727225690783827	0.0	2	9.651554676897112	2.139932132455944	0.8692778987222163	-2.0928732340130485	1.843879588570965	0.04252166878833298	0.042466937824674846	0.9086	0.112299465
10	587727226227720294	0.0	2	0.9531541158895697	1.194868191607919	0.8478215892617995	-1.0282480282611801	2.549825539736915	0.047446855381645135	0.03921535807789665	0.6212	0.098471984
11	587731186204868616	0.0	2	1.7331162963213125	0.07987300061113138	0.5282965660818751	-1.0783292992025046	2.3907286678613886	0.35240792011781435	0.07214472495087226	1.1148	0.5005875
12	588015510344040607	0.0	2	8.929988981523199	7.381761341774579	0.4965749554212197	-1.1866593550832292	2.306007817431666	0.16428717667792303	0.022341605124538935	1.0372	0.15331611
13	588015508733624406	0.0	2	7.007290954134561	1.6342556684497318	0.8714317826869121	-2.038473409444165	2.329838966858779	0.232485499704628	0.019869502129679584	1.1519	0.17344174
14	587727225691242683	0.0	2	1.526910079803359	1.4916948831398442	0.54175488170766	-0.8082074702305201	1.7264427861671834	0.11794472146378204	0.056074474931836864	1.1167	0.5555556
15	587730772816167051	0.0	2	0.7017423166851277	2.5044940254298353	0.5472445991483418	-1.3522499865410702	2.8845571811985025	0.03732943624475264	-0.016685766814714585	1.0452	0.123112656
16	588015510344302646	0.0	2	6.768734132938113	7.850186959586252	0.4666139681186339	-1.6936487850035997	2.396987828782264	0.06542306927360939	0.0	1.1214	0.10526316
17	588015509807497271	0.0	2	1.5120753845340207	3.094567783987399	0.5522091594209954	-1.3593161741000628	1.653323359906857	0.8242895891620633	0.061819959913867815	0.8762	0.4352518
18	587727178450927744	0.0	2	1.1907536725535235	2.1107655626245423	0.5107478106076077	-0.9040776554868714	1.699106501768115	0.30607055188243887	0.035925188483545215	0.8463	0.1754386
19	588290881638760664	0.0	2	1.34811119904562	1.878105566977569	0.5012306481936395	-1.0609998582430076	2.2359036612048406	0.3026286946553318	0.057775594088577485	0.7912	0.29176855
20	587727178988191864	0.0	2	1.490050218744185	1.2712764444527802	0.5324137759174736	-1.0131756540296784	1.900746041742526	0.47991325953850816	0.03136473218415832	0.7227	0.6916129
