Counter	Image	Merger (0 = no, 1 = yes)	Myr	Viewpoint	# Bulges	Sep	Flux Ratio	Gini	M20	C	A	S	Sersic n	A_s
24	q0.5_fg0.3_allrx10_sunruns/hires_kin_early_cen1/broadband_040.fits	1	0.39	0	2	12.267259363591025	2.0891037084305277	0.5251694169804145	-0.8144215850273846	3.3401677910275334	0.4090887655499761	-0.11261344096826903	0.785	0.18532738
25	q0.5_fg0.3_allrx10_sunruns/hires_kin_early_cen1/broadband_060.fits	1	0.59	0	1	0.0	0.0	0.6357298726378079	-1.7977257745544248	3.079345085726157	0.16697983478240366	0.08605162860553082	1.1726	0.21189056
26	q0.5_fg0.3_allrx10_sunruns/hires_kin_early_cen1/broadband_080.fits	1	0.78	0	1	0.0	0.0	0.6287137324490366	-1.9747772161006496	4.992851288503204	0.20289376655381325	0.1883606178589174	2.8339999999999996	0.24945848
27	q0.5_fg0.3_allrx10_sunruns/hires_kin_early_cen1/broadband_100.fits	1	0.98	0	1	0.0	0.0	0.5589394197223508	-2.230982808840646	4.454504767602238	0.15150935345113706	0.14265412389062387	3.0046	0.35290006
28	q0.5_fg0.3_allrx10_sunruns/hires_kin_early_cen1/broadband_120.fits	1	1.17	0	1	0.0	0.0	0.5984520546599941	-2.510118686298908	5.051713170353742	0.13268097446396376	0.2084718433051427	3.0655	0.19833705
29	q0.5_fg0.3_allrx10_sunruns/hires_kin_early_cen1/broadband_140.fits	1	1.37	0	1	0.0	0.0	0.57358762057473	-2.3851546442072435	4.804921612207643	0.1112317423418694	0.1844312940762572	3.221	0.3010118
30	q0.5_fg0.3_allrx10_sunruns/hires_kin_early_cen1/broadband_160.fits	1	1.56	0	1	0.0	0.0	0.5924379240533358	-2.1990240507175662	4.896091978855654	0.15866647591931632	0.17511045044702706	3.2642	0.31487197
31	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_180.fits	1	1.76	1	2	7.231698080134596	2.0560799592260737	0.5323012165518741	-0.7588885353339914	1.5894341631498008	0.260728896606589	0.1838458947632547	2.4517	0.51317734
32	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_185.fits	1	1.81	1	2	7.209381426385438	2.423929588067106	0.5603368031874288	-0.7779557747873007	1.70827927961724	0.7798422670785793	0.16611853532079007	1.7882	0.39628348
33	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_190.fits	1	1.86	1	1	0.0	0.0	0.5388953388164327	-2.029759730255194	3.8910019819458346	0.11587044785968215	0.045633622301321786	3.8722	0.3364033
34	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_195.fits	1	1.91	1	1	0.0	0.0	0.6279836505680388	-2.0595732740855093	4.0307420288844265	0.20731135348028068	-0.013736767589239468	1.6343	0.14901961
35	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_205.fits	1	2.0	1	2	7.596170263381278	3.2124768004103097	0.6425030237332576	-0.6021574795915764	1.2359088596759442	0.6607963386831079	0.31798826494310883	3.0526	0.5472731
36	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_210.fits	1	2.05	1	2	1.640872565300417	3.7518027725126784	0.5790224254836638	-1.1194511343502096	2.8169833661837567	0.26164959799922577	0.12332855792813947	2.3807	0.22752294
37	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_220.fits	1	2.15	1	1	0.0	0.0	0.5832665708339989	-2.2806749828646784	4.116510688855252	0.1923647222132738	0.08459680240349164	2.4199	0.18778563
