Counter	ID	Merger?	# Bulges	Sep	Flux Ratio	Gini	M20	C	A	S	Sersic n	A_s
0	587727223024189605	0.0	2	13.185080751365454	2.5668471016678684	0.42332889014984076	-0.9918163957642646	1.866269501002559	0.28324815994215985	0.10703813256539484	0.5759	0.103299856
1	587730775499407375	0.0	1	0	0	0.46310831837632205	-1.3793965941962962	2.4462972840469637	0.20051493742690973	0.032248946657086344	0.6009	0.04670472
2	587727178449485858	0.0	2	2.411898482363159	6.4875392743189355	0.8918056863048309	-1.5471376054707104	0.3255190398772684	1.4758337052130266	0.3227177286706572	0.9841	0.11625148
3	587727180596969574	0.0	2	13.791233905386186	1.1372082456374697	0.43958659644915804	-1.4740476710258705	2.386414677710534	0.0997113200172228	0.0	0.9626	0.152
4	588015507658768548	0.0	2	9.83961214060259	1.222475038205724	0.7831761007355635	-1.247049225370216	2.5776416692450392	0.009153546550825092	0.0011996842615933116	0.4171	0.055248618
5	587727221413511423	0.0	2	4.077547462373634	2.1160211293713744	0.5839173853842565	-2.1230985506871622	3.659104535544305	-0.07622162427532346	-0.011985584997447727	1.3444	0.14713897
6	587731186203951236	0.0	2	7.5500731930902765	1.5411325741261954	0.9190287525779349	-1.820634441500576	3.016486860431719	0.03803170731587017	0.016119166443540115	1.0245	0.08525616
7	587727221413576845	0.0	2	6.727879806718953	1.1720874073368743	0.4708014871969601	-2.066457389385345	3.392654424248641	-0.1438078592687041	-0.0012072305744370412	0.9548	0.076246336
8	588015508195639389	0.0	2	4.2993766864561485	23.707185614079997	0.5704401295114825	-1.93609202457745	3.677204120162237	-0.04864405978096602	0.010310861311176046	0.9359	0.21556886
9	587727225690128567	0.0	2	10.375253128720233	7.779648945251907	0.5656054745990504	-1.9123418522142341	3.118221681931546	-0.004486918655785468	0.03404077598035657	0.7189	0.050251257
10	588015507658768490	0.0	2	2.324410960455054	1.351574532999879	0.6090502306801276	-0.6806000486896935	2.813407023111517	0.5468022661029811	0.1389170375124553	0.3527	0.43274853
11	587727223024189761	0.0	2	3.83304435593148	3.8250753964791704	0.4305478954975098	-1.708475177705598	2.7693295413132613	-0.03770449900925427	0.0014094529448112274	0.5152	0.14318706
12	587727226763935842	0.0	2	7.922230602914207	0.7624300412007575	0.481550421473164	-1.7133915612118804	2.7611864656699163	-0.04176874188382508	0.018758127883740417	1.0423	0.08163265
13	587727221413576892	0.0	2	3.751708748123167	2.050973268507092	0.9084408348260066	-1.77193265205559	3.1134882943914226	0.018374442563212398	0.017789950326296485	1.3805	0.13419913
14	587730772815052911	0.0	2	8.37671023693996	2.8075015195896262	0.3793200234933108	-1.6063873889137088	2.2219452333431504	-0.061646433980145236	0.001432091210051279	0.3044	0.10583942
15	587731186740822193	0.0	2	7.101344076269089	2.265061508915431	0.905946032374174	-1.828909053752561	2.8099227482160267	-0.2462929431302396	-0.017544522328763815	1.2167	0.106269926
16	587727178449485973	0.0	2	9.016189970271828	1.7456613641626384	0.5545978515799982	-1.8502728281274112	2.782372118131203	0.0074949089559645365	0.0	0.8667	0.23255815
17	587730774425665764	0.0	2	7.7521809416009235	2.061579086952639	0.5004886161557438	-2.0033455674507947	3.110835135721613	-0.014690619757279477	0.005366233100096983	1.1183	0.06310014
18	587727221413576925	0.0	1	0	0	0.43934618815496185	-1.2003258486232584	2.1422451157581306	0.3152707095132158	0.0	0.7682	0.8271335
19	587727223024189705	0.0	2	6.8115484025359665	1.7027857222941007	0.6150354649692908	-1.897972193024761	3.271889885608406	0.06796329297474428	0.06365328763774834	1.3779	0.13129771
